Iteration,Random Seed,Autocorrlation,Moran I,Filter Method,Number of H0 Points,TL,AL,TML,AML,Value
0,684,none,-0.11846525650919462,up,49,25.877539856019666,0.5281130582861157,12.938769928009833,0.2640565291430578,24.998662023101325
0,684,none,-0.11846525650919462,down,49,18.66208954293571,0.38085897026399407,9.331044771467855,0.19042948513199703,24.99866202310132
0,684,positive,0.6522546416811671,up,49,25.049958834082126,0.5112236496751454,12.524979417041063,0.2556118248375727,24.998662023101325
0,684,positive,0.6522546416811671,down,49,24.666336893622656,0.503394630482095,12.333168446811328,0.2516973152410475,24.998662023101325
0,684,negative,-0.8298940977308739,up,49,25.019022251358006,0.5105922908440409,12.509511125679003,0.25529614542202045,24.084739481147547
0,684,negative,-0.8298940977308739,down,49,15.258478315602066,0.3113975166449401,7.629239157801033,0.15569875832247004,24.084739481147547
1,559,none,0.0164397007234656,up,49,26.64856774724463,0.5438483213723394,13.324283873622315,0.2719241606861697,25.704271405782826
1,559,none,0.0164397007234656,down,49,20.45055583832554,0.4173582824148069,10.22527791916277,0.20867914120740344,25.704271405782823
1,559,positive,0.8947988575091675,up,49,25.858567485386025,0.5277258670486944,12.929283742693013,0.2638629335243472,25.704271405782826
1,559,positive,0.8947988575091675,down,49,24.9003875978009,0.5081711754653245,12.45019379890045,0.25408558773266227,25.704271405782826
1,559,negative,-0.8719782139220809,up,49,25.618161899246928,0.5228196305968761,12.809080949623464,0.26140981529843804,24.698009201574287
1,559,negative,-0.8719782139220809,down,49,15.97940446314749,0.3261102951662753,7.989702231573745,0.16305514758313766,24.69800920157429
2,629,none,0.09109248607771214,up,49,24.99671593454632,0.5101370598887004,12.49835796727316,0.2550685299443502,23.91646036163586
2,629,none,0.09109248607771214,down,49,16.81548310877868,0.3431731246689526,8.40774155438934,0.1715865623344763,23.91646036163586
2,629,positive,0.8400122977392322,up,49,24.070010987236202,0.4912247140252286,12.035005493618101,0.2456123570126143,23.91646036163586
2,629,positive,0.8400122977392322,down,49,23.0698262600186,0.47081278081670613,11.5349131300093,0.23540639040835307,23.916460361635863
2,629,negative,-0.7522031358886405,up,49,25.198447235822027,0.5142540252208577,12.599223617911013,0.25712701261042886,24.285135815309182
2,629,negative,-0.7522031358886405,down,49,16.086915650782878,0.32830440103638525,8.043457825391439,0.16415220051819263,24.285135815309182
3,192,none,0.09465935310510461,up,49,25.063763347720418,0.5115053744432738,12.531881673860209,0.2557526872216369,23.987202894791388
3,192,none,0.09465935310510461,down,49,16.21202546587926,0.33085766256896454,8.10601273293963,0.16542883128448227,23.987202894791388
3,192,positive,0.8275246592172509,up,49,24.21033401135911,0.4940884492114104,12.105167005679554,0.2470442246057052,23.98720289479139
3,192,positive,0.8275246592172509,down,49,23.01320755966257,0.46965729713597076,11.506603779831284,0.23482864856798538,23.98720289479139
3,192,negative,-0.837296850888468,up,49,25.94383823029081,0.5294660863324655,12.971919115145406,0.26473304316623275,24.868350878159657
3,192,negative,-0.837296850888468,down,49,15.661575753754722,0.31962399497458616,7.830787876877361,0.15981199748729308,24.868350878159657
4,835,none,-0.15006210526721384,up,49,26.396202267526956,0.5386980054597338,13.198101133763478,0.2693490027298669,25.171337788039043
4,835,none,-0.15006210526721384,down,49,17.241210629021584,0.35186144140860376,8.620605314510792,0.17593072070430188,25.17133778803904
4,835,positive,0.8734326472987072,up,49,25.29247212158007,0.5161729004404095,12.646236060790034,0.25808645022020477,25.171337788039043
4,835,positive,0.8734326472987072,down,49,24.561605209277246,0.5012572491689234,12.280802604638623,0.2506286245844617,25.17133778803904
4,835,negative,-0.8497914140020016,up,49,24.75497956735717,0.5052036646399423,12.377489783678586,0.25260183231997113,24.11749594015504
4,835,negative,-0.8497914140020016,down,49,16.253753231338532,0.3317092496191537,8.126876615669266,0.16585462480957686,24.11749594015504
5,763,none,0.03237715206601046,up,49,27.61836291808501,0.5636400595527553,13.809181459042504,0.28182002977637766,26.246800242499
5,763,none,0.03237715206601046,down,49,16.81433465955796,0.3431496869297543,8.40716732977898,0.17157484346487714,26.246800242499003
5,763,positive,0.8250408491678209,up,49,26.427536535085135,0.5393374803078599,13.213768267542568,0.26966874015392994,26.246800242499006
5,763,positive,0.8250408491678209,down,49,25.48645086186357,0.5201316502421137,12.743225430931785,0.26006582512105686,26.246800242499003
5,763,negative,-0.7799103950263594,up,49,24.754855110822536,0.505201124710664,12.377427555411268,0.252600562355332,24.0370799353658
5,763,negative,-0.7799103950263594,down,49,15.46608884912836,0.31563446630874203,7.73304442456418,0.15781723315437102,24.037079935365792
6,707,none,-0.16766884608651192,up,49,24.525072972846168,0.5005116933233912,12.262536486423084,0.2502558466616956,23.085156720379448
6,707,none,-0.16766884608651192,down,49,15.003051262476363,0.30618471964237476,7.501525631238182,0.15309235982118738,23.085156720379448
6,707,positive,0.8047906764398559,up,49,23.175792888130214,0.47297536506388194,11.587896444065107,0.23648768253194097,23.08515672037945
6,707,positive,0.8047906764398559,down,49,22.571190000239664,0.460636530617136,11.285595000119832,0.230318265308568,23.085156720379455
6,707,negative,-0.8506875509004164,up,49,25.666420317078664,0.5238044962669115,12.833210158539332,0.26190224813345575,24.863068055624346
6,707,negative,-0.8506875509004164,down,49,15.140592799238107,0.3089916897803695,7.570296399619053,0.15449584489018475,24.863068055624346
7,359,none,-0.046108517122611596,up,49,26.52727751770267,0.5413730105653607,13.263638758851336,0.27068650528268035,25.392215436321653
7,359,none,-0.046108517122611596,down,49,17.02377878922064,0.3474240569228702,8.51188939461032,0.1737120284614351,25.392215436321656
7,359,positive,0.8496946499475903,up,49,25.529820916622864,0.5210167534004666,12.764910458311432,0.2605083767002333,25.392215436321653
7,359,positive,0.8496946499475903,down,49,24.47605361733762,0.49951129831301266,12.23802680866881,0.24975564915650633,25.392215436321653
7,359,negative,-0.8312661295510816,up,49,25.56067393669021,0.5216464068712288,12.780336968345106,0.2608232034356144,24.88096625232826
7,359,negative,-0.8312661295510816,down,49,16.26117865327453,0.3318607888423374,8.130589326637265,0.1659303944211687,24.880966252328264
8,9,none,-0.011786263325222835,up,49,26.696601162783193,0.5448285951588406,13.348300581391596,0.2724142975794203,25.140644319437296
8,9,none,-0.011786263325222835,down,49,16.716758295952438,0.3411583325704579,8.358379147976219,0.17057916628522896,25.140644319437293
8,9,positive,0.7172848597460003,up,49,25.26267440502952,0.5155647837761127,12.63133720251476,0.25778239188805635,25.140644319437296
8,9,positive,0.7172848597460003,down,49,24.585497123816836,0.5017448392615681,12.292748561908418,0.25087241963078405,25.140644319437296
8,9,negative,-0.7825635861726215,up,49,25.196893264747885,0.514222311525467,12.598446632373943,0.2571111557627335,24.168782699141737
8,9,negative,-0.7825635861726215,down,49,16.020222610269133,0.3269433185769211,8.010111305134567,0.16347165928846055,24.168782699141733
9,723,none,-0.12474283227735904,up,49,26.569911031401784,0.5422430822735058,13.284955515700892,0.2711215411367529,25.343248254077697
9,723,none,-0.12474283227735904,down,49,18.681516072101196,0.38125543004288154,9.340758036050598,0.19062771502144077,25.3432482540777
9,723,positive,0.8100753832546257,up,49,25.45970776164044,0.5195858726865397,12.72985388082022,0.25979293634326983,25.343248254077697
9,723,positive,0.8100753832546257,down,49,24.787505404248677,0.5058674572295648,12.393752702124338,0.2529337286147824,25.343248254077704
9,723,negative,-0.883633846507499,up,49,24.77214156779524,0.5055539095468417,12.38607078389762,0.2527769547734208,24.09041469115154
9,723,negative,-0.883633846507499,down,49,14.988270606840617,0.3058830736089922,7.494135303420308,0.1529415368044961,24.09041469115154
10,277,none,-0.17591613952794288,up,49,26.250739236011835,0.5357293721635068,13.125369618005918,0.2678646860817534,24.367738302082675
10,277,none,-0.17591613952794288,down,49,15.203714693429177,0.31027989170263626,7.6018573467145885,0.15513994585131813,24.367738302082675
10,277,positive,0.7641814844436964,up,49,24.498927097011514,0.49997810402064313,12.249463548505757,0.24998905201032157,24.367738302082678
10,277,positive,0.7641814844436964,down,49,23.73489950848024,0.4843857042546988,11.86744975424012,0.2421928521273494,24.367738302082678
10,277,negative,-0.8734047197983478,up,49,25.795060371427418,0.5264298034985188,12.897530185713709,0.2632149017492594,25.107241993185028
10,277,negative,-0.8734047197983478,down,49,15.786608937474673,0.32217569260152396,7.893304468737337,0.16108784630076198,25.107241993185028
11,754,none,-0.20740760761513038,up,49,27.726817460713306,0.5658534175655777,13.863408730356653,0.28292670878278886,26.261795663070842
11,754,none,-0.20740760761513038,down,49,17.407355595500587,0.35525215501021606,8.703677797750293,0.17762607750510803,26.261795663070842
11,754,positive,0.7449032368918063,up,49,26.37500974277539,0.5382655049545998,13.187504871387695,0.2691327524772999,26.261795663070842
11,754,positive,0.7449032368918063,down,49,25.695239150658495,0.5243926357277244,12.847619575329247,0.2621963178638622,26.26179566307084
11,754,negative,-0.825001898897985,up,49,26.374264370495343,0.5382502932754152,13.187132185247672,0.2691251466377076,25.540614579844217
11,754,negative,-0.825001898897985,down,49,17.525175801756856,0.357656649015446,8.762587900878428,0.178828324507723,25.540614579844224
